,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ENSMMUG00000028703,2.0062795510644e-64,0.894634820731984,1,1,3.53185452169377e-60
ANXA4,2.33907136646556e-64,-0.365742981890565,0.947,0.973,4.11770123352597e-60
LSM4,5.11031702294571e-64,-0.407655651840953,0.795,0.876,8.99620208719362e-60
RPS29,5.49411519479197e-64,-0.286380570302389,1,1,9.67184038891178e-60
MAMU-DQB1,8.15993072859384e-64,-0.302788333276036,0.997,0.994,1.43647420546166e-59
LOC696748,8.43204513890494e-64,-0.303406267431664,0.999,1,1.48437722625283e-59
MRPL51,1.19240066806647e-63,-0.370736503102806,0.832,0.898,2.09910213606421e-59
EPDR1,1.62261110181778e-63,0.261431345413589,0.208,0.057,2.85644458364002e-59
C19H19orf38,1.8617810397941e-63,-0.418879941676918,0.161,0.411,3.27747934245353e-59
RARA,1.95595916788635e-63,-0.438610769705135,0.636,0.785,3.44327051914714e-59
CCNI,2.52440674825673e-63,0.544359205466322,0.974,0.881,4.44396563963114e-59
SERF2,2.72866495662705e-63,-0.278914754415491,1,1,4.80354178964627e-59
PRDX1,4.33868227495843e-63,-0.348870737815593,0.997,1,7.63781627683683e-59
NCF2,4.83866648384715e-63,-0.406068347274005,0.882,0.931,8.51798847816453e-59
PLEKHJ1,6.24225025988395e-63,-0.423553994986219,0.252,0.503,1.09888573574997e-58
CHI3L1,8.60926193073677e-63,0.851890056094625,0.968,0.893,1.5155744702869e-58
CLEC4A,1.32484027180861e-62,-0.408645315720183,0.883,0.947,2.33224881449188e-58
NRIP1,1.54576758236769e-62,-0.488327871463979,0.908,0.935,2.72116925200009e-58
SF3B5,1.99223007541223e-62,-0.381389534978671,0.846,0.913,3.50712182475569e-58
CD74,3.77188954812822e-62,-0.338896187490329,1,1,6.64003436052492e-58
TOMM5,6.74764430552223e-62,-0.385831152999138,0.921,0.95,1.18785530354413e-57
MYL12A,2.08180954978324e-61,-0.336474310456405,0.995,0.997,3.66481753143841e-57
SPN,2.13333560119634e-61,-0.393255995965596,0.13,0.376,3.75552399234604e-57
LOC106995754,2.62028556766544e-61,-1.57112658204732,0.012,0.203,4.61275071331824e-57
MARCKS,5.15971253669329e-61,0.751490516158295,0.417,0.204,9.08315794959486e-57
PSME1,7.85770241804868e-61,-0.381545706172252,0.884,0.947,1.38326993367329e-56
HYPK,8.99450069169405e-61,-0.382227379880634,0.859,0.912,1.58339190176582e-56
CD101,1.57982743788663e-60,-0.492822902530579,0.334,0.557,2.78112822165563e-56
CALR,1.82263609856155e-60,-0.393179035374992,0.986,0.995,3.20856858790775e-56
LOC100428069,2.66285749679961e-60,-0.361767114970158,0.099,0.33,4.68769433736604e-56
CEACAM3,2.81414008790434e-60,-0.449920587910312,0.763,0.859,4.9540122107468e-56
CYBB,3.74268334292033e-60,-0.370678457080398,0.995,0.997,6.58861975687696e-56
GAPDH,6.63947765734235e-60,-0.31316236037702,0.998,0.999,1.16881364679855e-55
CCDC151,8.74142254222628e-60,-0.499835638412538,0.557,0.712,1.53884002433351e-55
MCUB,9.81736173579875e-60,-0.420416268972192,0.681,0.795,1.72824835997001e-55
LSM10,1.02136369581059e-59,-0.389424270816283,0.718,0.823,1.79800865010497e-55
CTSK,1.12923561312224e-59,-0.521603618011331,0.09,0.319,1.98790637334039e-55
CEBPA,1.53140994466002e-59,-0.441116191949588,0.868,0.925,2.6958940665795e-55
ADAM28,1.74482626553492e-59,0.304441906892022,0.227,0.072,3.07159215784767e-55
ATOX1,1.75879157595746e-59,-0.345606517224257,0.998,1,3.09617669031551e-55
PRKCB,2.25624378384364e-59,0.272921781612519,0.206,0.059,3.97189155707835e-55
C5AR1,2.47348653107841e-59,-0.367038593779196,0.912,0.971,4.35432568931043e-55
FCMR,3.01764186495171e-59,0.363237276097438,0.229,0.074,5.31225673906099e-55
TIMP2,5.62675894212487e-59,0.476880394106648,0.921,0.76,9.90534644171662e-55
S100A11,1.01707766194001e-58,-0.350263355279918,0.999,1,1.7904635160792e-54
POLR1D,1.11110282101154e-58,-0.374294216110926,0.807,0.881,1.95598540610871e-54
EGR1,1.11821490304296e-58,0.402427073074572,0.227,0.071,1.96850551531683e-54
ADI1,1.14453302052657e-58,-0.494684860483064,0.606,0.739,2.01483592933498e-54
CTSG,1.27156535224772e-58,0.334844112305921,0.185,0.049,2.23846364609688e-54
