,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
MOSPD1,3.3068451344546e-10,0.385729808243034,0.364,0.304,5.82137017469387e-06
C1QB,7.16109214938333e-09,0.271017274344745,0.732,0.669,0.000126063866197744
TM4SF19,1.42558272632111e-08,0.263931228398004,0.32,0.262,0.000250959583141568
APOC2,2.57251724494043e-08,-0.254896770989572,0.698,0.744,0.000452865935799313
BAG3,1.23407894969035e-06,0.356266553237667,0.316,0.269,0.021724725830349
C1QA,3.04739652610586e-06,0.29082649811336,0.624,0.542,0.0536463684455676
ENSMMUG00000028703,4.20530770701769e-06,0.289922685592495,1,1,0.0740302368743394
LOC106999148,6.04898534244923e-06,0.273657125166563,0.831,0.827,0.106486337968476
NFKBIA,0.000114144593161286,0.275120258503072,0.894,0.894,1
RBP4,0.190099421116781,0.303244610475925,0.283,0.283,1
